text,publication,
"Payless ShoeSource confirmed Friday that it will close its 2,100 stores in the U.S. and Puerto Rico and start liquidation sales Sunday. The company is also shuttering its e-commerce operations. ",USA Today,15-Feb
The closings mark the biggest by a single chain this year and nearly doubles the number of retail stores set to close in 2019.,USA Today,15-Feb
"""We expect all stores to remain open until at least the end of March and the majority will remain open until May,"" the company said in a statement to USA TODAY. ""This process does not affect the company’s franchise operations or its Latin American stores, which remain open for business as usual.”",USA Today,15-Feb
Payless.com is no longer accepting online orders but its store locator was still working Saturday ni.,USA Today,15-Feb
"The Topeka, Kansas-based discount shoe retailer had previously filed for bankruptcy protection in 2017 and closed 673 stores.",USA Today,15-Feb
"In a September news release, Payless said it was ""the largest specialty footwear retailer in the Western Hemisphere"" with more than 3,500 stores in 40 countries worldwide and nearly 18,000 employees.",USA Today,15-Feb
"Days before Payless confirmed stores would be shuttered, Coresight Research on Wednesday released an outlook of 2019 store closures that said there was ""no light at the end of the tunnel.""",USA Today,15-Feb
"Prior to the Payless announcement, 2,187 store closings had been announced in the first six weeks of the year, according to the global market research firm's report. This represented a 23 percent increase over the same time period last year.",USA Today,15-Feb
"Those closings include 749 Gymboree stores, 251 Shopko stores and 94 Charlotte Russe locations. ",USA Today,15-Feb
"For 2018, Coresight Research tracked 5,524 closings, which included all Toys R Us stores, and hundreds of Mattress Firm stores, Kmart and Sears locations, and Brookstone's remaining mall stores.  ",USA Today,15-Feb
"The record year for closings was 2017, with 8,139 shuttered stores, Coresight reported. This included the 2017 Payless closings, the entire HHGregg electronics and appliance chain and hundreds of Sears and Kmart stores.",USA Today,15-Feb
New York (CNN Business)Payless ShoeSource is heading back into bankruptcy. This time it will close its doors.,CNN,19-Feb
"The 63-year old discount shoe retailer filed for Chapter 11 bankruptcy protection on Monday, less than two years after it emerged from its previous bankruptcy.",CNN,19-Feb
"The bankruptcy filing Monday follows the start of going-out-of-business sales Sunday at its 2,500 US and Canadian stores. About 16,000 employees will lose their jobs. Store closings begin in March and should conclude by the end of May.",CNN,19-Feb
"Payless is the most recent retailer to file for what has become known as ""Chapter 22,"" in which a company emerges from Chapter 11 only to file for bankruptcy a second time and shut down its business.",CNN,19-Feb
"RadioShack, American Apparel and Gymboree all suffered that fate.",CNN,19-Feb
"It's one of the reasons Sears may struggle to remain in business long term, despite the company's promises that it will be a profitable and competitive retailer once again as it emerges from bankruptcy.",CNN,19-Feb
